Designator,Footprint,Quantity,Value,LCSC Part #
"C201, C204, C207",805,3,10uF,C163225
"C202, C205, C206",805,3,"0,1uF",C38141
"C213, C214",805,2,1uF,C28323
"C215, C312",805,2,100nF,C38141
"C301, C302, C304, C306, C307, C308, C310, C311",805,8,0.1uF,C38141
"C303, C305",CP_EIA-3528-21_Kemet-B,2,10uF,C163225
C309,805,1,2.2nF,C36576
C402,805,1,22nF,C107137
"C403, C411",805,2,0u1F,C89258
"C405, C406, C407, C408",805,4,47uF,C7472975
"C409, C410",1206,2,2u2F,C577211
D201,805,1,RED,C391863
"D204, D205",D_SOD-123,2,D_Schottky,C2891704
D210,805,1,BLUE,C205441
D211,805,1,GREEN,C84260
D401,D_PowerDI-5,1,PDS760-13,C96113
"J201, J202",USB_C_Receptacle_G-Switch_GT-USB-7010ASV,2,USB_C_Receptacle_USB2.0,C2765186
"J301, J306",JST_PH_B3B-PH-SM4-TB_1x03-1MP_P2.00mm_Vertical,2,Conn_01x03_Socket,C160353
"J302, J304",JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,2,Conn_01x02_Socket,C295747
"J303, J305",JST_PH_S6B-PH-SM4-TB_1x06-1MP_P2.00mm_Horizontal,2,Conn_01x06_Socket,C265405
J307,JST_PH_B8B-PH-SM4-TB_1x08-1MP_P2.00mm_Vertical,1,Conn_01x08_Socket,C157915
L401,L_10.4x10.4_H4.8,1,8u2,C2847563
Q101,SO-8_5.3x6.2mm_P1.27mm,1,AO4407,C469397
"Q201, Q202",SOT-23,2,Q_NPN_BCE,C49581
R101,805,1,2k,C17604
"R102, R103, R104, R105, R301",805,5,4k7,C17673
"R201, R204, R205, R303",805,4,1K,C17513
"R202, R203",805,2,10k,C17414
"R212, R213, R214, R215",805,4,5k1,C27834
R302,805,1,330,C17630
R401,805,1,84k5,C17842
R402,805,1,100k,C2763792
R403,805,1,17k8,C413729
SW101,5Amp_Switch,1,SW_DPDT_x2,C2884744
"SW201, SW202",SW_SPST_B3U-1000P,2,SW_MEC_5E,C720477
U201,SOT-223-3_TabPin2,1,AMS1117-3.3,C347222
U202,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,C2913205
U204,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,1,CH343P,C2846043
"U301, U302",SSOP-24_5.3x8.2mm_P0.65mm,2,TB6612FNG,C88224
U303,InvenSense_QFN-24_4x4mm_P0.5mm,1,MPU-6050,C24112
U304,SOT-23-5,1,74LVC1G126,C7834
U401,Texas_R-PDSO-G8_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,1,LMR14050,C155484
