Designator,Mid X,Mid Y,Rotation,Layer
C201,29.2356,-49.3808,90.0,bottom
C202,31.2,-49.4,90.0,bottom
C204,79.2836,-40.4012,180.0,bottom
C205,25.947,-50.1114,0.0,bottom
C206,76.5556,-39.6646,90.0,bottom
C207,25.9584,-48.1306,0.0,bottom
C213,70.33,-59.461,0.0,bottom
C214,74.4,-65.85,0.0,bottom
C215,71.0,-65.85,180.0,bottom
C301,57.7951,-59.496,90.0,bottom
C302,60.5217,-60.2242,180.0,bottom
C303,49.022,-48.6145,90.0,bottom
C304,37.6576,-60.196,270.0,bottom
C305,36.2076,-56.846,0.0,bottom
C306,34.95,-59.5,0.0,bottom
C307,36.9451,-54.196,0.0,bottom
C308,47.975,-52.225,0.0,bottom
C309,36.271,-32.238,0.0,bottom
C310,35.0,-41.1,0.0,bottom
C311,34.3,-38.4,270.0,bottom
C312,45.3174,-39.512052,180.0,bottom
C402,21.2966,-61.8542,0.0,top
C403,24.72,-53.6985,270.0,top
C405,27.7012,-54.3995,180.0,top
C406,27.702,-52.3675,180.0,top
C407,30.5308,-50.7644,90.0,top
C408,32.6644,-50.7644,90.0,top
C409,21.461,-49.911,180.0,top
C410,26.258,-49.9,0.0,top
C411,21.357,-52.253,180.0,top
D201,79.2153,-39.0,180.0,top
D204,77.125,-65.975,180.0,top
D205,71.6534,-37.194,90.0,top
D210,74.9798,-61.6392,0.0,top
D211,74.9798,-63.5892,0.0,top
D401,25.99,-59.2935,90.0,top
J101,29.805,-31.155,90.0,top
J102,35.6108,-48.133,270.0,bottom
J201,69.213,-72.1532,0.0,top
J202,77.6644,-31.9398,90.0,top
J301,29.7876,-71.2136,180.0,top
J302,41.434,-70.9684,0.0,top
J303,54.7022,-70.9378,0.0,top
J304,41.4152,-70.9526,0.0,bottom
J305,54.6768,-70.9378,0.0,bottom
J306,44.8644,-35.56,270.0,top
J307,53.4082,-52.2328,270.0,top
J308,54.4296,-34.5244,90.0,top
J501,24.9,-24.77,270.0,bottom
L401,34.9974,-58.252,90.0,top
Q101,35.4076,-38.5826,90.0,top
Q201,71.3125,-47.675,180.0,bottom
Q202,67.6927,-51.5492,0.0,bottom
R101,34.1649,-44.8818,180.0,top
R102,64.725,-29.475,180.0,top
R103,64.7125,-27.575,0.0,top
R104,36.305322,-29.875,180.0,bottom
R105,36.3125,-27.975,0.0,bottom
R201,75.8375,-39.0,0.0,top
R202,67.5024,-48.8024,180.0,bottom
R203,71.4707,-50.5176,0.0,bottom
R204,78.3625,-61.65,0.0,top
R205,78.3538,-63.5892,0.0,top
R212,67.47,-65.6061,270.0,top
R213,71.15,-65.2,90.0,top
R214,70.0625,-33.625,0.0,top
R215,70.7625,-30.175,180.0,top
R301,37.65,-41.775,270.0,bottom
R302,47.2125,-33.45,0.0,bottom
R303,43.6182,-36.824552,90.0,bottom
R401,17.862,-51.557,90.0,top
R402,18.6398,-64.1402,90.0,top
R403,21.2966,-63.8354,0.0,top
SW101,23.1384,-44.6278,0.0,top
SW201,45.95,-62.9,90.0,top
SW202,63.65,-37.2,0.0,top
U201,26.9,-55.5,270.0,bottom
U202,69.4894,-50.5082,270.0,top
U204,69.115,-62.565,0.0,bottom
U301,52.2833,-58.668,90.0,bottom
U302,43.1576,-58.646,90.0,bottom
U303,37.9634,-35.8742,0.0,bottom
U304,46.275,-36.4625,270.0,bottom
U401,20.924,-57.044,270.0,top
